Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
Position – Data Scientist,$80K - $155K (Glassdoor Est.),"Location – Sydney and Digital / Remote
Experience – Minimum 8 years
We are looking for a candidate with good command over R / Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm design, analysis, development, and performance improvement. Strong understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering, classification, regression techniques, recommendation (collaborative filtering) algorithms and Time series analysis.

We are eager to hear from you if you have one of the below mentioned skills. Send us your resume at careers@robonomics.ai",4.6,"Robonomics AI
4.6",Sydney
Geospatial data scientist/developer,Employer Provided Salary:$106K - $115K,"Acknowledgement of Country
CSIRO acknowledges the Traditional Owners of the land, sea and waters, of the area that we live and work on across Australia. We acknowledge their continuing connection to their culture and pay our respects to their Elders past and present. View our vision towards reconciliation
Child Safety
CSIRO is committed to the safety and wellbeing of all children and young people involved in our activities and programs. View our Child Safe Policy.
The Opportunity",4.1,"CSIRO
4.1",Brisbane
Senior Data Scientist,$80K - $128K (Glassdoor Est.),"A new role = A new way to win together

You belong at Coles Group where we look ahead, have a plan, and are up for the challenge. We learn and grow by taking career-defining opportunities and this one may just be your next.

Senior Data Scientist

If you’re looking for a fresh start, you’ve come to the right place. We’re a large and iconic portfolio of trusted Australian brands – which means there are always exciting challenges and career opportunities waiting for you.",3.6,"Coles Supermarkets
3.6",Hawthorn East
Data Analytics Graduate,$89K - $98K (Glassdoor Est.),"At Allianz, we care for all the things that make you, you. For feeling like you belong. For a place where learning never stops. For growing new skills and opening up exciting possibilities. For your curiosity to thrive and help transform an industry. And when life twists, there’s flex for balance and the support you need. So, come and share your ideas, give back and feel proud to be part of a company doing work that matters across climate change and mental health. Let’s care for everyone’s tomorrow so we can create a better future together.
We know that flexible work comes in different forms, that’s why we’re embracing hybrid teams - enabling employees to maintain a balance of working both in the office and remote, supporting the needs of both the business and individual.

Data Analytics Graduate | NSW – Sydney
Be supported to grow and develop your career
Push the status quo",4.1,"Allianz Australia
4.1",Sydney
Senior Data Scientist (R&D),$100K - $124K (Glassdoor Est.),"As a Senior Data Scientist at Mutinex, you build complex data models that will simplify marketing decision making for our customers. Data is our product so your work is the forefront of the value we bring to our customers.

You will work in R&D team, working alongside them to ensure the core model and data flows are well architected, before building out a new team focused on improving insights generated by the models.

This role can be based in either Sydney or Melbourne with a hybrid working model.
The role
Role responsibilities include:




You will work closely with the Lead Data Scientist in our R&D team. Initially you will be involved in onboarding customers and customer releases to to familiarise yourself with the core model and domain, then support the teams work to improve the model architecture and data flows.",,Mutinex,South Melbourne
Data Scientist,$95K - $150K (Glassdoor Est.),"About us:
The world needs smart food solutions that are friendly to the palate and the planet, but right now, plant-based and alternative protein products just don't stack up to the real thing.
And that's where Nourish comes in.
Our animal-free fats and oils make alternative proteins taste delicious. With our science, we can tailor flavour profiles that precisely reproduce the taste and mouthfeel of beef, chicken, fish, milk, cheese and beyond. Products made with our fats are more than an alternative, they're a straight up improvement. Backed by Horizons Ventures and Main Sequence Ventures, Nourish Ingredients are a key player in the future of a smarter, more sustainable, and more diverse food system.",2.9,Nourish Ingredients,Sydney
Data & Analytics Opportunities | Canberra,$56K - $84K (Glassdoor Est.),"Date: 4 Jul 2023

Location:
Canberra, ACT, AU

Department: Consulting

Description:
Deloitte Flex - We recognise the importance of balance and embrace agility
Buy and sell leave - purchase up to 6 weeks of extra annual leave
Mentoring and development programs – receive support and coaching to progress your career

Deloitte Canberra predominantly focuses on the Defence Sector, Federal Government and the various Intelligence Communities and local private enterprises. You could be helping the military prepare their workforce for the next national emergency (conflict, bushfire, COVID), delivering projects impacting Australian society, influencing public policy, redesigning the way the Australian Space Agency uses collective intelligence to solve issues at the national level, or be involved in developing competencies you can’t talk about, for secret organisations you’ve never heard of. The projects we work on in Canberra have a lasting impact on the health, economy, defence and security of Australia.

What will your typical day look like?

Deloitte’s Analytics & AI practice is a diverse team comprised of experts across strategy, insight advisory, data engineering, data science and automation. We have a dedicated focus on solving business problems for our clients. Our services range from helping clients understand the potential of Analytics & AI through to designing and implementing solutions. We constantly evaluate new technologies, experiment with new techniques and create leading-edge data and analytics assets that can be used by our clients and practitioners to drive success with Analytics & AI.

You will be part of a close, collaborative team that identifies and builds solutions that are practical as well as visionary, and that make an impact that matters.

Enough about us, let’s talk about you.

We’re looking for candidates with a combination of the following:

At least 4 years’ experience data engineering, feature engineering and/or model development using advanced statistical and machine learning techniques
Demonstrable experience of one or more relevant programming languages e.g. Python, R, Julia
Data Engineering, Software Engineering, Data Governance, Cloud Computing (AWS, Azure, GCP) and project management skills will be highly desirable.
Experience of different project life cycles and delivery methodologies (waterfall, scrum, agile)
Experience with cloud services (Amazon Web Services, Microsoft Azure or Google Cloud Platform)
Demonstrable experience working in a consulting environment or managing non-technical stakeholders
Government (ideally Federal Government and Defence) experience will be highly regarded
Bachelor or MS degree in Mathematics, Statistics, Engineering or similar quantitative disciplines.
Australian Citizenship required
Federal Government security clearance is highly desirable

Why Deloitte?

At Deloitte, we focus our energy on interesting and impactful work. We’re always learning, innovating and setting the standard; making a positive difference to our clients and our society. We put coaching at the heart of what we do, helping our people grow their careers in any direction – whether it be up, moving into something new, or even moving across the world.

We embrace diversity, equity and inclusion. We have a diverse collection of people from different backgrounds, with different experiences, gender identities, abilities and thinking styles. What binds us together is a shared commitment to value everyone’s perspective and to cultivate inclusion; so that our work environment is a safe space we can all belong.

We prioritise flexibility and choice. At Deloitte, you get trust on Day 1. We know our people get their best work done when they’re in control of where and how they work, designing their work week around their client, team and personal commitments.

We help you live and work well. To support your personal and professional life, we offer a range of perks and benefits, including retail discounts, wellbeing leave, paid volunteering days, twelve flexible working options, market-leading parental leave and return to work support package.",4.0,"Deloitte
4.0",Canberra
Head of Analytics and Data Science,,"Responsibilities
Set up a data analytics, data engineering and data science practice including recruitment, setting up big data and analytics strategy across the organisation and digital products, develop use cases and end-to-end activation of those use cases across the data lifecycle
Recruit, Lead and mentor a Technical team with specialisation across Data engineering, Data analytics, BI development and data science focusing on machine learning, Statistics, Insights and Advanced Analytics
Provide people and thought leadership to help improve and enrich the organisation’s actionable use of data
Uplift and improve the BI and Performance Reporting across the business",3.6,"MVP1 Ventures
3.6",Remote
Junior Data Analyst/Scientist,$70K - $126K (Glassdoor Est.),"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",4.1,International Institute of Data & Analytics,Sydney
Data Scientist (12 Month Fixed Term Contract),$164K - $170K (Glassdoor Est.),"Company Description

Are you ready to be a big part of something big?
At carsales, we're all about making buying and selling a great experience. For 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow.
When it comes to your career, we want to provide big opportunities to help you make a big impact. But for this to be possible, we strive to feel small. Small enough to quickly change tack, small enough to learn from different departments and small enough to connect authentically with leadership.
Not something you’d expect from one of the country’s biggest tech companies, is it?",4.3,"carsales
4.3",Melbourne
AI Data Scientist,Employer Provided Salary:$125.00 - $137.50 Per hour,"IMMEDIATE – AI Data Scientist – AUD 1100 + Super – 12 Months – NSW Government Project

Role: AI Data Scientist
Contract: 12 months
Pay: $1000 – 1100 + Super a day
Hours: 8hr/day 40hr/week
Location: Sydney / Hybrid

Key Responsibilities:
Collaborate with cross-functional teams to develop a comprehensive understanding of our data needs.
Develop / identify and implement innovative models.",5.0,"Talent Street
5.0",Australia
Data Scientist,$91K - $140K (Glassdoor Est.),"About the job Data Scientist
Job Description ﻿Data Scientist in Perth:
Required Technical Skill Set - Python, R, SQL, shell scripting,, GitHub/SVN, Teamcity or continuous integration tools, Exposure to AWS.

Ability to work as part of a multidisciplinary team and develop and maintain relationships with internal and external stakeholders.

Assist in the management of sprints and product backlog in an Agile environment.

Understanding in applying machine learning, deep learning, artificial intelligence, and/or advanced optimization algorithms.

Exposure in Developing data science projects which includes scoping, building, testing, implementation, maintenance, tracking and optimisation of models.

Understanding of Techniques such as Time Series analytics, Regression, Confidence Interval, Bayesian and Monte Carlo methods, Chi-square distribution",5.0,"Pyramid Global Technologies
5.0",Perth
Machine Learning Engineer,Employer Provided Salary:$102K - $115K,"(HEO8) $102,266 to $114,731 per annum plus an employer contribution of 17% superannuation applies.
Offering a full-time, fixed term position for one year from date of commencement
Be part of a world class, outcome-based education and training centre within a ‘Group of Eight’ University!
We are seeking a Machine Learning Engineer to be part of AIMLs (Australian Institute for Machine Learning) award winning Industry Solutions team to develop machine learning algorithms, test, deliver and maintain software systems and work with leaders in artificial intelligence. The machine learning engineer will write production code, analyse data with machine learning algorithms, and work in a team to deliver machine learning systems.",3.9,"The University of Adelaide
3.9",Adelaide
Research Engineer - Machine Learning,,"Various
Engineering
13639BR
About us:
STELaRLab is Lockheed Martin’s first dedicated multi-disciplinary research lab to be setup outside of the US and conducts research in artificial intelligence, signal and image processing, communication systems and multidomain operations (MDO) to deliver exciting outcomes that advance Australian capability.

STELaRLab maintains strong partnerships with academia, government, and wider industry to execute research and development from conceptual prototyping through to simulated and/or live trials. This exciting new position will be located and works closely with the Australian Institute of Machine Learning (AIML), working with world-class researchers with the opportunity to build your career and reputation and work in one of the world’s most liveable cities.

AIML is Australia’s leading research institute in machine learning, artificial intelligence and computer vision. With world-leading researchers, modern facilities and an innovative culture, delivering research that is highly valued to local and global communities. AIML is the largest computer vision and machine learning group in Australia with over 130 members including academics, research staff and students. The institute works on a mixture of fundamental and commercially orientated research projects in computer vision and machine learning, with a strong track record of publication in the top venues. The University’s Computer Vision research is amongst the best in the world. Find out more at https://www.adelaide.edu.au/aiml/home.",4.1,"Lockheed Martin Australia
4.1",Australia
Senior Research Statistician/Biostatistician,$81K - $128K (Glassdoor Est.),"The Opportunity:
We have an opportunity available for a Senior Research Statistician to join our Research Data Science team. You will provide scientific expertise in the area of biostatistics for a broad array of applications in pre-clinical research, focusing on the design, conduct and analysis of in vivo, in vitro and observational studies with research aims including indication selection, drug design and lead candidate selection, assay development and validation, mechanism of action, establishment of animal models, efficacy and safety, and comparison of in-house and competitor drug candidates.
You will work closely with the Global Research Data Science group members and other CSL colleagues to set and deliver on project objectives and to determine appropriate data generation, processing, and analysis strategies. You will also work alongside CSL’s external collaborators to make recommendations on study design, execution and data analysis.",3.5,"CSL Behring
3.5",Melbourne
Data Scientist,$41K - $82K (Glassdoor Est.),"We are looking for a Data Scientist to drive and built innovative data science solutions for RoZetta’s diverse range of clients. You’ll be an integral part of the team and engage with clients across a range of project. You are great at cultivating relationships both internally and externally to implement impactful solutions to real world challenges.
Company Overview
RoZetta Technology is a world-leading big data and advanced analytics information architecture company, and an advanced AWS Consulting Partner. Our systems provide the bedrock of scalable, robust, and reliable data-focused software platforms. Our projects shift perspectives to provide understanding and purpose to what was once just data. We exist to create value for our customers and to affect positive change in business, industry, economy, and society.",4.5,RoZetta Technology,Sydney
Principal Data Scientist,$168K - $240K (Glassdoor Est.),"Principal Data Scientist
506655
Sydney (Eora Nation), NSW, Australia
Melbourne (Kulin Nation), VIC, Australia
Data, Analytics & Statistics
Wagering & Media
Permanent Full-Time",3.4,"Tabcorp
3.4",Sydney
Graduate | Machine Learning Engineer,$95K - $159K (Glassdoor Est.),"Please submit your CV and cover letter to careers@mindhive.org.
Machine Learning Engineer
To advance Mindhive by developing algorithms to build models that uncover connections and make better decisions without human intervention. Mindhive has started to reimagine intelligence. Forming a global mind from the most unusual suspects, who were in it for the ideas, not the glory. And finding a way that technology could enhance human minds, not replace them.
More here: https://www.web.mindhive.org/careers
ROLE
Experimentation is at the core of what you do. The role is to work to turn business questions into data analysis effectively and provide meaningful recommendations. This unique hybrid role will focus on your data infrastructure knowledge and your ability to drive insights.",4.2,Mindhive,Brisbane
Graduate | Data Science & Analytics [dm5j],Employer Provided Salary:$65K - $85K,"** This role is at ASX (not for Hatch)
Hatch is supporting ASX to find a great Graduate | Data Science & Analytics to join their Data and Analytics team. Hatch exists to level the playing field for people as they discover a career that’s right for them. We model this in our hiring process for our partners like ASX.
Applying here is the first step in the hiring process for this role.
About the role at ASX
Your program will commence with an induction program, followed by your professional development, based on a three-phased building block approach of getting graduates established, building graduate competencies and rounding out with emerging graduate leaders. Topics such personal brand, self-awareness, change & ambiguity, and critical thinking will help your career flourish. We will also upskill you in your financial markets knowledge, and support your further education in your chosen field.",4.0,"Hatch
4.0",Sydney
Machine Learning Engineer,,"About the Role
We’re looking for a creative research engineer to work on building out our system’s artificial intelligence capabilities. You’re passionate about all things data, and have a keen interest in solving problems using computer vision techniques. Artificial intelligence is only useful so long as it is accurate, unbiased, and robust to any environment - you will help us achieve this within the Black.ai team.The Black.ai system utilises video data to perform its functionalities associated with identifying and understanding the way physical environments are utilised. In this role you will interact with many different aspects of the machine learning research pipeline, collaborating with our product and core engineering teams to develop our existing and new capabilities. Within the research team, you will investigate existing and novel computer vision and machine learning techniques, as well as implementing new algorithms and neural networks to solve customer problems.In this role you will work on and solve complex problems in real world environments, helping our customers improve their operational processes through impactful and intentional applications of privacy-focused artificial intelligence.
Researching existing and novel state of the art machine learning algorithms
Development and implementation of new computer vision algorithms
Implementation of unique code to improve the accuracy and efficiency of our existing neural networks
Design new approaches to processing of video data
Short-term and long-term planning of the machine learning feature set informed by findings from the product and customer success teams.
Work in an AGILE environment and develop documentation to a high standard for consumption by internal stakeholders
2+ years experience building production machine learning systems OR experience with building distributed systems, and a willingness to expand your knowledge base within machine learning and computer vision technologies
Experience using Python
Masters or PhD in fields related to computer science, mathematics, or data science OR equivalent work/industry experience
Robust understanding of mathematics and statistics
Robust coding ability
Fluent in English
Working rights within Australia
Bonus (but by no means essential):
Experience with C++ programming
Knowledge of deep learning (CNNs, Transformers, autoencoders)
Traditional machine learning (RDF, SVMs, HOG Gradient boosting)
Evidence of independently developed resources e.g. network architectures
Experience with Pytorch or TensorRT
Experience with ML Ops or Kubernetes solutions",5.0,Black.ai,Australia
Graduate | Data Science & Insights [bda0],Employer Provided Salary:$65K - $85K,"** This role is at Stockland (not for Hatch)
Hatch is supporting Stockland to find a great Graduate | Data Science & Insights to join their Data and Analytics team. Hatch exists to level the playing field for people as they discover a career that’s right for them. We model this in our hiring process for our partners like Stockland.
Applying here is the first step in the hiring process for this role.
About the role at Stockland
As a Data Science & Insights Graduate, throughout your two years, you will contribute to a high performing team by conducting analysis and building business intelligence solutions to enhance business understanding of customer behaviours and needs, marketing performance, and data-driven decisions across all operational areas of the organisations.",4.0,"Hatch
4.0",Sydney
Data Scientist,$100K - $124K (Glassdoor Est.),"We are seeking a Data Scientist to join our Data Science and Engineering stream within Data Insights unit. The first thing you will work on is extending the development of our first attack suppression model with a new dataset we have developed to better understand the probability a fire is suppressed. This position will provide technical support to a variety of projects, including lightning strike ignition, first attack probability of suppression, aircraft effectiveness, and the remote detection of fires. The role will pitch and develop projects aligned with FFR's strategic priority of leveraging science, technology, and data analytics to enhance preparedness, response and recovery, efficiency, and effectiveness to reduce bushfire risk.
There are opportunities to undertake field work and nominate for an emergency management role.
About You
This role is well suited for a range of experiences with data science, applied statistics, operations research, and related fields. Ideally you are enthusiastic about data and are someone who can see the big picture. You are a self-starter and an excellent communicator, and you love taking initiative and pioneering new and creative ideas. You are confident and comfortable working with ambiguity and uncertainty. You should have a tertiary qualification in data science, mathematics, statistics, economics, or related fields and experience applying that knowledge in a real-world setting.
This is a technical role and while we don't expect you to have experience with our entire technology stack, the successful candidate will have some experience with scientific research in a team environment.

Ideally, we are looking for a candidate with solid technical skills who loves to solve problems. You might not always have domain knowledge of a problem, but you know how to ask questions, test a hypothesis, and explain the results.
About Us
Data Insights is a multi-disciplinary specialised in-house data team, providing a range of centralised services, including business intelligence reporting, predictive analytics, and data management, to Forest, Fire and Regions Group and Victoria's land and emergency management partner agencies. Data Insights is transforming the way Forest, Fire and Regions Group uses data to support its role in creating safe, liveable, inclusive, and sustainable communities, and thriving natural environments.
The team comprises a mix of data engineers, data scientists, analysts, and BI developers who work together to solve challenging problems in Victoria's bushfire, emergency, and land management sector.
Specialist/Technical Expertise/Qualifications

This is ongoing. The work location for this position is flexible within Victoria with hybrid work arrangements available.
To be considered for this position, applicants are encouraged to submit a resume and cover letter (no longer than 2 pages) summarising their skills and relevant experience.
For further information please refer to the attached position description.
Applications close at midnight on Monday, 31 July 2023.


Preferred candidates will be required to undertake pre-employment screening, including a Declaration and Consent form and a National Police Check.
To be eligible for appointment to this role, applicants will possess corresponding work rights for the advertised employment period. Appointment to an ongoing position is only available to an Australian/New Zealand citizen or an Australian Permanent Resident.
A Diverse, Inclusive and Flexible Workplace
DEECA welcomes applicants from a diverse range of backgrounds and we focus on the essential requirements of the job and being consistent and fair in our treatment of all applicants. We also understand that a balanced life is important to our employees. Talk to us about our flexible options such as working some days from home, starting early or late, working part time, job sharing or accessing paid or unpaid leave.",4.0,"Department of Energy, Environment and Climate Action",Melbourne
Graduate Program | Data Science & Analytics [xw39],Employer Provided Salary:$65K - $85K,"** This role is at Capgemini (not for Hatch)
Hatch is supporting Capgemini to find a great Graduate Program | Data Science & Analytics to join their Data and Analytics team. Hatch exists to level the playing field for people as they discover a career that’s right for them. We model this in our hiring process for our partners like Capgemini.
Applying here is the first step in the hiring process for this role.
About the role at Capgemini
In the yearlong graduate program, you’ll be shown the ropes through foundation masterclasses, then depending on your skillset you’ll be off doing project work – it could be software development if that’s your jam, or organisational change management or business analysis if that’s what your skills are aligned to.",4.0,"Hatch
4.0",Sydney
Machine Learning Engineer,,"We are currently partnered with a cutting edge AI technology company in the look for their next Machine Learning Engineer to boost their capability to provide and enhance creativity with their forward thinking vision of technology.
We are looking for:
Strong programmers preferrably skilled in Python
Highly experienced in Machine Learning and Deep Learning models.
Previous experience in research papers implementation, GitHub repos and/or open source models.
The ability to work on both open-ended research problems and production-ready code will be highly regarded.",3.6,"Experis
3.6",Brisbane
AI Platform Engineer,,"Why Microsoft

Industry Solutions Engineering (ISE) is part of Microsoft Industry Solutions, a global organization of over 16,000 strategic sellers, industry experts, elite engineers, and world-class architects, consultants, and delivery experts who work together to bring Microsoft’s mission of empowerment – and cutting-edge technology - to life for the world’s most influential customers.

The ISE team works directly with customers looking to leverage the latest technologies to address their toughest challenges. We develop solutions side-by-side with our customers through collaborative innovation to solve their challenges. This work involves the development of broadly applicable, high-impact solution patterns and open-source software assets that contribute to the Microsoft platform. In this role, you will be working with engineers from your team and our customers’ teams to apply your skills, perspectives, and creativity to grow as engineers and help solve our customer challenges.













Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3",Australia
Computer Vision/Machine Learning Developer,$80K - $119K (Glassdoor Est.),"Revolutionize computer vision technology with a laser focus on delivering cutting-edge commercial applications in real-time, real-world settings.
Seeking talented individuals experienced in real-time computer vision and image processing to work on innovative algorithms and products.
Join a dynamic and upbeat workplace, with flexible hours and absolutely no unpaid overtime!
Our office is located in Port Melbourne, a short distance from the Melbourne CBD.
What you'll do:
Develop and implement computer vision and/or machine learning algorithms to solve complex problems, using programming languages such as Python, C++, or MATLAB.",4.5,"RunTime
4.5",Melbourne
Associate Professor / Professor (Practice) - Artificial Intelligence and Data Science,Employer Provided Salary:$212K,"The Opportunity
Working alongside the Director, the Associate Professor/Professor of Practice in Artificial Intelligence and Data Science will be responsible for delivering advanced AI and data science in support of the Monash Data Futures Institute research programs. This role will enrich the Institute’s research program by undertaking advanced data science and AI, working with researchers across all Faculties and campuses to identify opportunities for and support integration of research across thematic areas. This role will act as a conduit between universities, government and the business community.
The successful applicant will be responsible for, but not limited to:
Leading the artificial intelligence and data science project deliverables and plans for the Monash Data Futures Institute",4.2,"Monash University
4.2",Clayton North
Machine Learning Modeler,$120K - $148K (Glassdoor Est.),"Company Description

It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic ecosystem, developing unique financial products, including Afterpay/Clearpay, to provide a better way to send, spend, invest, borrow and save to our 47 million monthly active customers. We want to redefine the world’s relationship with money to make it more relatable, instantly available, and universally accessible.

Today, Cash App has thousands of employees working globally across office and remote locations, with a culture geared toward innovation, collaboration and impact. We’ve been a distributed team since day one, and many of our roles can be done remotely from the countries where Cash App operates. No matter the location, we tailor our experience to ensure our employees are creative, productive, and happy.

Check out our locations, benefits, and more at cash.app/careers.",3.7,"Afterpay
3.7",Melbourne
Data Scientist - 3 month contract,$95K - $150K (Glassdoor Est.),"This is a 3 month contract with every chance to extend or potential convert into a permanent role.

If you're a data scientist with a passion for integrating modelling to new businesses. You thrive in deploying solutions to complex data. If this sounds like you, read on.

We are looking for both Mid & Senior Data Scientists so if you're a Senior reading this and looking for a Senior title & package, that's definitely on offer.
Our Data Scientists also work alongside our Research Data Science, Data Engineering , Marketing Science and R&D teams, to share and deliver their applied insights and ideas to help innovate and automate our model workflow and data pipelines.

Maybe you are a Data Scientist with an interest in Marketing, MMM or Bayesian models that wants to explore and better connect our customers' domains to our product, GrowthOS.

Our customers are from a range of sectors including Financial Services, Retail and FMCG and continuing to expand regularly.",,Mutinex,Sydney
Artificial Intelligence & Machine Learning Graduate February 2024,$76K - $135K (Glassdoor Est.),"SA, Adelaide
Software Engineering
13570BR
About us:
Lockheed Martin is a leader in Australia's National Security, and our collaboration with Australian industry spans the Aeronautics, Maritime, Surveillance and Defence domains.

At Lockheed Martin, we apply our passion for purposeful innovation to keep people safe and solve the world's most complex challenges. Every day, our employees come to work with one focus – our customers' missions. Whether it's protecting citizens or advancing the boundaries of science, these missions are some of the most important and challenging in the world.",4.1,"Lockheed Martin Australia
4.1",Adelaide
